0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:37:57 +0530] "GET /TwadWeb/assets/plugins/validationengine/css/validationEngine.jquery.css HTTP/1.1" 404 2620
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:39:00 +0530] "GET /TwadWeb/checkApplicationStatus.do?appId= HTTP/1.1" 200 9448
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:39:00 +0530] "GET /TwadWeb/assets/css/theme.css HTTP/1.1" 404 2620
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:39:00 +0530] "GET /TwadWeb/assets/plugins/validationengine/css/validationEngine.jquery.css HTTP/1.1" 404 2620
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:39:00 +0530] "GET /TwadWeb/assets/css/MoneAdmin.css HTTP/1.1" 404 2620
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:39:00 +0530] "GET /TwadWeb/assets/plugins/Font-Awesome/css/font-awesome.css HTTP/1.1" 404 2620
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:39:04 +0530] "GET /TwadWeb/checkApplicationStatus.do?appId= HTTP/1.1" 200 9448
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:39:04 +0530] "GET /TwadWeb/assets/plugins/validationengine/css/validationEngine.jquery.css HTTP/1.1" 404 2620
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:39:04 +0530] "GET /TwadWeb/assets/plugins/Font-Awesome/css/font-awesome.css HTTP/1.1" 404 2620
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:39:04 +0530] "GET /TwadWeb/assets/css/theme.css HTTP/1.1" 404 2620
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:39:04 +0530] "GET /TwadWeb/assets/css/MoneAdmin.css HTTP/1.1" 404 2620
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:39:13 +0530] "GET /TwadWeb/checkApplicationStatus.do?appId= HTTP/1.1" 200 9448
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:39:13 +0530] "GET /TwadWeb/assets/plugins/Font-Awesome/css/font-awesome.css HTTP/1.1" 404 2620
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:39:13 +0530] "GET /TwadWeb/assets/css/MoneAdmin.css HTTP/1.1" 404 2620
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:39:13 +0530] "GET /TwadWeb/assets/css/theme.css HTTP/1.1" 404 2620
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:39:13 +0530] "GET /TwadWeb/assets/plugins/validationengine/css/validationEngine.jquery.css HTTP/1.1" 404 2620
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:39:20 +0530] "GET /TwadWeb/assets/plugins/Font-Awesome/css/font-awesome.css HTTP/1.1" 404 2620
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:39:20 +0530] "GET /TwadWeb/assets/css/MoneAdmin.css HTTP/1.1" 404 2620
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:39:20 +0530] "GET /TwadWeb/assets/css/theme.css HTTP/1.1" 404 2620
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:39:20 +0530] "GET /TwadWeb/assets/plugins/validationengine/css/validationEngine.jquery.css HTTP/1.1" 404 2620
127.0.0.1 - - [15/Feb/2019:22:43:01 +0530] "POST /TwadService/Services/DashboardService/getCategoryDtl HTTP/1.1" 200 488
127.0.0.1 - - [15/Feb/2019:22:43:01 +0530] "POST /TwadService/Services/DashboardService/getDistrictDtl HTTP/1.1" 200 56
127.0.0.1 - - [15/Feb/2019:22:43:01 +0530] "POST /TwadService/Services/DashboardService/getDivisionDtl HTTP/1.1" 200 39841
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:43:01 +0530] "GET /TwadWeb/formRegister.do HTTP/1.1" 200 35078
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:43:01 +0530] "GET /TwadWeb/assets/css/theme.css HTTP/1.1" 404 2620
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:43:01 +0530] "GET /TwadWeb/assets/css/MoneAdmin.css HTTP/1.1" 404 2620
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:43:01 +0530] "GET /TwadWeb/assets/plugins/Font-Awesome/css/font-awesome.css HTTP/1.1" 404 2620
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:43:01 +0530] "GET /TwadWeb/assets/plugins/validationengine/css/validationEngine.jquery.css HTTP/1.1" 404 2620
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:43:19 +0530] "GET /TwadWeb/assets/css/theme.css HTTP/1.1" 404 2620
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:43:19 +0530] "GET /TwadWeb/assets/plugins/Font-Awesome/css/font-awesome.css HTTP/1.1" 404 2620
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:43:19 +0530] "GET /TwadWeb/assets/plugins/validationengine/css/validationEngine.jquery.css HTTP/1.1" 404 2620
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:43:19 +0530] "GET /TwadWeb/assets/css/MoneAdmin.css HTTP/1.1" 404 2620
127.0.0.1 - - [15/Feb/2019:22:46:25 +0530] "POST /TwadService/Services/DashboardService/getCategoryDtl HTTP/1.1" 200 488
127.0.0.1 - - [15/Feb/2019:22:46:25 +0530] "POST /TwadService/Services/DashboardService/getDistrictDtl HTTP/1.1" 200 56
127.0.0.1 - - [15/Feb/2019:22:46:25 +0530] "POST /TwadService/Services/DashboardService/getDivisionDtl HTTP/1.1" 200 39841
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:46:26 +0530] "GET /TwadWeb/formRegister.do HTTP/1.1" 200 35078
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:46:26 +0530] "GET /TwadWeb/assets/css/theme.css HTTP/1.1" 404 2620
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:46:26 +0530] "GET /TwadWeb/assets/css/MoneAdmin.css HTTP/1.1" 404 2620
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:46:26 +0530] "GET /TwadWeb/assets/plugins/validationengine/css/validationEngine.jquery.css HTTP/1.1" 404 2620
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:46:26 +0530] "GET /TwadWeb/assets/plugins/Font-Awesome/css/font-awesome.css HTTP/1.1" 404 2620
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:46:34 +0530] "GET /TwadWeb/ HTTP/1.1" 200 13174
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:46:50 +0530] "GET /TwadWeb/checkApplicationStatus.do?appId= HTTP/1.1" 200 9438
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:46:50 +0530] "GET /TwadWeb/assets/css/theme.css HTTP/1.1" 404 2620
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:46:50 +0530] "GET /TwadWeb/assets/css/MoneAdmin.css HTTP/1.1" 404 2620
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:46:50 +0530] "GET /TwadWeb/assets/plugins/Font-Awesome/css/font-awesome.css HTTP/1.1" 404 2620
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:46:50 +0530] "GET /TwadWeb/assets/plugins/validationengine/css/validationEngine.jquery.css HTTP/1.1" 404 2620
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:47:00 +0530] "GET /Water/index.do HTTP/1.1" 404 979
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:47:09 +0530] "GET /TwadWeb/assets/plugins/validationengine/css/validationEngine.jquery.css HTTP/1.1" 404 2620
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:47:09 +0530] "GET /TwadWeb/assets/plugins/Font-Awesome/css/font-awesome.css HTTP/1.1" 404 2620
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:47:23 +0530] "GET /TwadWeb/assets/css/MoneAdmin.css HTTP/1.1" 404 2620
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:47:23 +0530] "GET /TwadWeb/assets/plugins/validationengine/css/validationEngine.jquery.css HTTP/1.1" 404 2620
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:47:23 +0530] "GET /TwadWeb/assets/css/theme.css HTTP/1.1" 404 2620
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:47:23 +0530] "GET /TwadWeb/assets/plugins/Font-Awesome/css/font-awesome.css HTTP/1.1" 404 2620
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:50:54 +0530] "GET /TwadWeb/checkApplicationStatus.do?appId= HTTP/1.1" 200 9390
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:50:54 +0530] "GET /TwadWeb/assets/css/theme.css HTTP/1.1" 404 2620
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:50:54 +0530] "GET /TwadWeb/assets/css/MoneAdmin.css HTTP/1.1" 404 2620
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:50:54 +0530] "GET /TwadWeb/assets/plugins/Font-Awesome/css/font-awesome.css HTTP/1.1" 404 2620
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:50:54 +0530] "GET /TwadWeb/assets/plugins/validationengine/css/validationEngine.jquery.css HTTP/1.1" 404 2620
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:50:54 +0530] "GET /TwadWeb/library/New_images/bgimg.jpg HTTP/1.1" 404 2620
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:51:39 +0530] "GET /TwadWeb/checkApplicationStatus.do?appId= HTTP/1.1" 200 9392
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:51:39 +0530] "GET /TwadWeb/assets/plugins/Font-Awesome/css/font-awesome.css HTTP/1.1" 404 2620
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:51:39 +0530] "GET /TwadWeb/assets/css/theme.css HTTP/1.1" 404 2620
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:51:39 +0530] "GET /TwadWeb/assets/css/MoneAdmin.css HTTP/1.1" 404 2620
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:51:39 +0530] "GET /TwadWeb/assets/plugins/validationengine/css/validationEngine.jquery.css HTTP/1.1" 404 2620
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:51:39 +0530] "GET /TwadWeb/library/New_images/bgimg.jpg HTTP/1.1" 404 2620
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:51:42 +0530] "GET /TwadWeb/index.do HTTP/1.1" 200 13174
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:51:42 +0530] "GET /TwadWeb/library/New_images/bgimg.jpg HTTP/1.1" 404 2620
